Title,Rating,Runtime,Directors,Writers,Stars,Genres,Popularity,Budget,Gross Worldwide,URL
Doisprezece,5.6,1h 33m,Joel Schumacher,"Jordan Melamed, Nick McDonell","Chace Crawford, Rory Culkin, Philip Ettinger, Esti Ginzburg, 50 Cent, Zoë Kravitz, Billy Magnussen, Emily Meade, Emma Roberts, Ellen Barkin","Conspiracy Thriller, Psychological Drama, Action, Drama, Thriller",N/A,"$5,000,000 (estimated)","$2,648,195",https://www.imdb.com/title/tt1407084/
The Slammin' Salmon,6.4,1h 39m,Kevin Heffernan,"Writers, Jay Chandrasekhar, Kevin Heffernan, Steve Lemme, ","Kevin Heffernan, Jeff Chase, Carla Gallo, Paul Soter, Michael Yurchak, Nat Faxon, Jolie Martin, Erik Stolhanske, Jay Chandrasekhar, April Bowlby","Raunchy Comedy, Satire, Comedy",N/A,N/A,"$60,421",https://www.imdb.com/title/tt1135525/
Sisters,6.8,1h 33m,Brian De Palma,"Brian De Palma, Louisa Rose","Margot Kidder, Jennifer Salt, Charles Durning, William Finley, Lisle Wilson, Barnard Hughes, Mary Davenport, Dolph Sweet, Cathy Berry, Eddie Carmel","Psychological Horror, Psychological Thriller, Slasher Horror, Horror, Mystery, Thriller",N/A,"$500,000 (estimated)","$318,348",https://www.imdb.com/title/tt0070698/
V/H/S Viral,4.2,1h 21m,"Directors, Justin Benson, Gregg Bishop, Todd Lincoln, ","Writers, T.J. Cimfel, David White, Marcel Sarmiento, ","Patrick Lawrie, Emilia Ares, Celia K. Milius, Steve Berens, Garrett Bales, Ashley Rivers, Stephanie Silver, Charles Johnson, Ryan Staats, Robert Andrew Sallberg","B-Action, B-Horror, Dark Fantasy, Erotic Thriller, Folk Horror, Found Footage Horror, Splatter Horror, Supernatural Fantasy, Supernatural Horror, Urban Adventure",N/A,N/A,"$82,409",https://www.imdb.com/title/tt3704538/
Maurice,7.6,2h 20m,James Ivory,"E.M. Forster, Kit Hesketh-Harvey, James Ivory","James Wilby, Hugh Grant, Rupert Graves, Denholm Elliott, Simon Callow, Billie Whitelaw, Barry Foster, Judy Parfitt, Phoebe Nicholls, Patrick Godfrey","Costume Drama, Steamy Romance, Drama, Romance",N/A,"£1,577,000 (estimated)","$2,643,324",https://www.imdb.com/title/tt0093512/
Biscuiti pentru animale,7.4,1h 37m,Victor Heerman,"Writers, George S. Kaufman, Morrie Ryskind, Bert Kalmar, ","Groucho Marx, Harpo Marx, Chico Marx, The Marx Brothers, Zeppo Marx, Lillian Roth, Margaret Dumont, Louis Sorin, Hal Thompson, Margaret Irving","Classic Musical, Farce, Slapstick, Comedy, Family, Musical",N/A,N/A,N/A,https://www.imdb.com/title/tt0020640/
Abbott şi Costello contra Frankenstein,7.3,1h 23m,"Charles Barton, Walter Lantz","Writers, Robert Lees, Frederic I. Rinaldo, John Grant, ","Bud Abbott, Lou Costello, Lon Chaney Jr., Bela Lugosi, Glenn Strange, Lenore Aubert, Jane Randolph, Frank Ferguson, Charles Bradstreet, Bobby Barber","Monster Horror, Parody, Screwball Comedy, Slapstick, Supernatural Horror, Werewolf Horror, Comedy, Family, Fantasy, Horror",N/A,"$800,000 (estimated)","$4,812,444",https://www.imdb.com/title/tt0040068/
Welcome Home Roscoe Jenkins,5.5,1h 44m,Malcolm D. Lee,Malcolm D. Lee,"Martin Lawrence, Louis C.K., James Earl Jones, Margaret Avery, Joy Bryant, Cedric The Entertainer, Nicole Ari Parker, Michael Clarke Duncan, Mike Epps, Mo'Nique","Comedy, Romance",N/A,"$35,000,000 (estimated)","$43,655,418",https://www.imdb.com/title/tt0494652/
Raajneeti,7.1,2h 43m,Prakash Jha,"Prakash Jha, Anjum Rajabali, Sameer","Ajay Devgn, Ranbir Kapoor, Nana Patekar, Katrina Kaif, Arjun Rampal, Manoj Bajpayee, Naseeruddin Shah, Sarah Thompson, Nikhila Trikha, Darshan Jariwala","Hindi, Political Drama, Drama, Thriller",N/A,N/A,"$29,459,596",https://www.imdb.com/title/tt1291465/
Un barbat cuceritor,5.2,1h 24m,Reginald Hudlin,"Tim Meadows, Dennis McNicholas, Harper Steele","Tim Meadows, Karyn Parsons, Billy Dee Williams, John Witherspoon, Jill Talley, Lee Evans, Will Ferrell, Sofia Milos, Eugene Levy, David Huband","Raunchy Comedy, Comedy",N/A,"$24,000,000 (estimated)","$13,743,212",https://www.imdb.com/title/tt0213790/
