Rating,Popularity,Runtime (minutes),ROI,directors_freq,writers_freq,stars_freq,genres_freq
8.1,575.0,120,2.5363735066666666,0.003066761028544468,0.0011372251705837756,0.001933927921368766,23.330049261083744
7.1,907.0,143,2.9784245244444443,0.0016513328615239443,0.00265352539802881,0.004254641427011285,25.47783251231527
7.4,512.0,121,5.833985381294964,0.003066761028544468,0.0031273692191053828,0.004368401892974154,24.32512315270936
8.3,1402.0,103,5.336580505,0.0009436187780136825,0.0014215314632297195,0.004322897706589006,41.241379310344826
8.1,516.0,130,10.74004272,0.0011795234725171032,0.0017058377558756635,0.002844011649071715,21.27093596059113
8.3,449.0,170,1.32886606,0.004718093890068413,0.0032221379833206974,0.0031625409537677468,44.477832512315274
8.1,413.0,117,3.2174460666666667,0.008020759613116301,0.003601213040181956,0.0060520567892246085,32.98522167487685
7.0,1408.0,115,2.995510786666667,0.0023590469450342063,0.0008529188779378317,0.004618674918092465,19.76847290640394
6.5,817.0,136,9.100133991304348,0.0014154281670205238,0.0012319939347990902,0.003117036767382599,23.147783251231527
8.3,848.0,122,17.541963,0.0016513328615239443,0.0009476876421531463,0.0011603567528212595,37.57142857142857
7.7,1442.0,122,11.257735857142857,0.0021231422505307855,0.000758150113722517,0.0046641791044776115,70.65024630541872
8.6,301.0,130,46.486413636363636,0.0011795234725171032,0.00047384382107657316,0.0006143065161994904,42.61576354679803
7.9,1209.0,112,7.0296560333333336,0.0007077140835102619,0.00047384382107657316,0.0005915544230069166,33.4384236453202
7.2,1373.0,101,3.903324946666667,0.0014154281670205238,0.0032221379833206974,0.0014561339643247178,61.62068965517241
8.1,454.0,141,6.771429076923077,0.006841236140599198,0.0006633813495072025,0.004368401892974154,50.04926108374384
7.8,378.0,143,5.542970685,0.0016513328615239443,0.0029378316906747536,0.0030942846741900255,35.1576354679803
7.4,1052.0,151,4.738576653333333,0.0021231422505307855,0.003411675511751327,0.0037540953767746634,24.04433497536946
6.9,1922.0,124,3.119666655,0.001887237556027365,0.0012319939347990902,0.0064843465598835096,17.06896551724138
7.6,1244.0,140,8.014123424778761,0.0014154281670205238,0.0012319939347990902,0.004914452129595923,8.650246305418719
7.7,1701.0,131,2.2038543125,0.0011795234725171032,0.0012319939347990902,0.0033900618856934836,19.84729064039409
8.2,1016.0,127,9.878579291666666,0.006841236140599198,0.0027482941622441245,0.003048780487804878,22.17241379310345
7.1,724.0,144,4.7313985333333335,0.0028308563340410475,0.0021796815769522366,0.003913360029122679,26.192118226600986
7.9,1991.0,132,3.7302285,0.0021231422505307855,0.0019901440485216074,0.003776847469967237,39.39408866995074
8.0,1213.0,137,5.0720393,0.0025949516395376267,0.001326762699014405,0.0010693483800509648,36.99014778325123
6.9,719.0,124,2.646926957142857,0.0021231422505307855,0.0021796815769522366,0.005232981434291955,27.832512315270936
8.2,336.0,114,22.29215230769231,0.005661712668082095,0.001516300227445034,0.003048780487804878,41.600985221674875
7.9,850.0,127,2.571211786666667,0.0011795234725171032,0.002843062926459439,0.0035948307244266474,23.625615763546797
8.0,1761.0,118,27.616341666666667,0.0009436187780136825,0.00018953752843062926,0.0016381507098653077,38.01970443349754
8.8,373.0,161,21.061588333333333,0.0014154281670205238,0.0014215314632297195,0.0017974153622133237,20.389162561576356
8.5,380.0,112,40.82203971291866,0.0009436187780136825,0.00047384382107657316,0.0006598107025846378,51.330049261083744
7.5,1228.0,146,6.685160946153847,0.0014154281670205238,0.0016110689916603487,0.0033445576993083362,38.67487684729064
8.5,422.0,150,3.4313984285714287,0.004246284501061571,0.000758150113722517,0.0011148525664361122,43.96551724137931
7.7,1323.0,136,4.202479429411765,0.001887237556027365,0.0021796815769522366,0.004800691663633054,40.172413793103445
8.0,1847.0,115,4.025673981818182,0.0016513328615239443,0.0021796815769522366,0.003958864215507826,35.12315270935961
8.4,502.0,137,7.08433772972973,0.001887237556027365,0.00265352539802881,0.0028667637422642883,34.1576354679803
8.1,325.0,98,2.9992718787878787,0.0014154281670205238,0.001516300227445034,0.002844011649071715,22.48768472906404
8.2,590.0,116,1.6958521,0.003066761028544468,0.0014215314632297195,0.0021386967601019296,42.72906403940887
7.7,1284.0,90,9.0735104,0.0009436187780136825,0.005686125852918878,0.0025937386239534036,37.62068965517241
7.8,1559.0,161,4.262573755555556,0.003066761028544468,0.0027482941622441245,0.001911175828176192,14.52216748768473
8.1,1249.0,132,7.2254548666666665,0.008020759613116301,0.001042456406368461,0.004322897706589006,35.783251231527096
7.8,798.0,120,5.623193725,0.0023590469450342063,0.0008529188779378317,0.0011376046596286858,33.793103448275865
8.0,701.0,115,6.866179326086956,0.0011795234725171032,0.00047384382107657316,0.003458318165271205,25.55665024630542
7.5,981.0,128,5.822540877777778,0.001887237556027365,0.001326762699014405,0.004004368401892974,24.753694581280786
8.1,426.0,99,6.98269536,0.001887237556027365,0.001042456406368461,0.0063705860939206405,48.26108374384236
8.1,542.0,111,4.15825982,0.0014154281670205238,0.0006633813495072025,0.00257098653076083,42.90147783251231
6.9,1347.0,106,10.9873663,0.0007077140835102619,0.0008529188779378317,0.002889515835456862,25.985221674876847
7.1,1247.0,169,3.2056373633333335,0.0021231422505307855,0.003411675511751327,0.00416363305424099,24.04433497536946
8.0,248.0,144,4.11057168,0.0021231422505307855,0.002558756633813495,0.002821259555879141,34.285714285714285
8.0,748.0,108,13.497195637931034,0.00023590469450342062,0.0005686125852918878,0.0010010921004732435,41.17733990147783
8.1,926.0,93,9.0629248,0.0025949516395376267,0.001042456406368461,0.002730251183108846,47.40394088669951
8.0,367.0,144,5.839087092592592,0.005425807973578675,0.00047384382107657316,0.00452766654532217,42.004926108374384
8.2,397.0,118,4.413871842105263,0.0021231422505307855,0.0008529188779378317,0.0007963232617400801,44.433497536945815
7.9,772.0,90,8.149631983333334,0.001887237556027365,0.0027482941622441245,0.0034128139788860575,13.74384236453202
8.0,723.0,114,16.68255057142857,0.00047180938900684123,0.00018953752843062926,0.0023889697852202403,56.77832512315271
7.0,764.0,116,2.844504610526316,0.001887237556027365,0.0012319939347990902,0.0022752093192573717,29.95566502463054
6.6,1827.0,142,5.685049773913043,0.0014154281670205238,0.001516300227445034,0.004891700036403349,23.147783251231527
8.0,1097.0,129,5.822050310344828,0.0028308563340410475,0.0008529188779378317,0.0018201674554058974,28.00985221674877
8.1,418.0,117,1.4922973214285715,0.005425807973578675,0.0016110689916603487,0.003458318165271205,59.47290640394089
7.3,1263.0,141,5.620072192,0.0009436187780136825,0.0018953752843062926,0.0063705860939206405,24.226600985221676
7.8,1104.0,166,2.23868524,0.0023590469450342063,0.0019901440485216074,0.002889515835456862,50.1871921182266
7.0,616.0,124,3.1027266846153845,0.005425807973578675,0.0018953752843062926,0.0030715325809974516,19.064039408866996
8.1,654.0,98,8.65885357142857,0.008020759613116301,0.003601213040181956,0.002730251183108846,61.93103448275862
7.3,1387.0,104,3.9511937066666665,0.0021231422505307855,0.0008529188779378317,0.003685839097196942,23.502463054187192
7.7,864.0,120,5.220797820224719,0.0007077140835102619,0.0002843062926459439,0.0038906079359301055,52.916256157635466
6.9,1004.0,136,3.2988082304347826,0.0007077140835102619,0.0029378316906747536,0.00336730979250091,16.039408866995075
8.4,429.0,147,3.339753492063492,0.004718093890068413,0.0027482941622441245,0.004800691663633054,44.23645320197044
9.0,226.0,96,0.008414285714285714,0.004482189195564991,0.00018953752843062926,0.0023662176920276664,41.89655172413793
7.2,544.0,115,4.689653186666667,0.0016513328615239443,0.0018953752843062926,0.0058927921368765925,31.517241379310345
7.7,96.0,152,8.228310264,0.0033026657230478887,0.0017058377558756635,0.002639242810338551,16.54679802955665
