Title,Rating,Popularity,Budget,Gross Worldwide,URL,Runtime_minutes,ROI,Director_main,Writer_main,Star_main,Genre_main
Avertizarea,7.1,399.0,48000000.0,249348933.0,https://www.imdb.com/title/tt0298130/,115,5.1947694375,Gore Verbinski,Ehren Kruger,Naomi Watts,Supernatural Horror
Sub aceeași stea,7.6,2063.0,12000000.0,307170119.0,https://www.imdb.com/title/tt2582846/,126,25.597509916666667,Josh Boone,Scott Neustadter,Shailene Woodley,Coming-of-Age
Amețeala,8.2,1094.0,2479000.0,7974114.0,https://www.imdb.com/title/tt0052357/,128,3.2166655909640984,Alfred Hitchcock,Alec Coppel,James Stewart,Conspiracy Thriller
Citeste si arde,7.0,1331.0,37000000.0,163728902.0,https://www.imdb.com/title/tt0887883/,96,4.425105459459459,Ethan Coen,Joel Coen,George Clooney,Dark Comedy
Ultimele zile ale lui Hitler,8.2,1058.0,14850000.000000002,92181574.0,https://www.imdb.com/title/tt0363163/,156,6.2075134006734,Oliver Hirschbiegel,Bernd Eichinger,Bruno Ganz,German
Lordul razboiului,7.6,1658.0,50000000.0,72617068.0,https://www.imdb.com/title/tt0399295/,122,1.45234136,Andrew Niccol,Andrew Niccol,Nicolas Cage,True Crime
Mumia revine,6.4,2199.0,98000000.0,443284916.0,https://www.imdb.com/title/tt0209163/,130,4.5233154693877555,Stephen Sommers,Stephen Sommers,Brendan Fraser,Desert Adventure
Este ceva despre Mary,7.1,1080.0,23000000.0,369884651.0,https://www.imdb.com/title/tt0129387/,119,16.08194134782609,Bobby Farrelly,Ed Decter,Cameron Diaz,Romantic Comedy
Eroi de sacrificiu 2,6.6,4125.0,100000000.0,314975955.0,https://www.imdb.com/title/tt1764651/,103,3.14975955,Simon West,Richard Wenk,Sylvester Stallone,Globetrotting Adventure
Interviul,6.5,3032.0,44000000.0,11782625.0,https://www.imdb.com/title/tt2788710/,112,0.2677869318181818,Evan Goldberg,Dan Sterling,James Franco,Buddy Comedy
Click,6.4,2046.0,82500000.0,240685326.0,https://www.imdb.com/title/tt0389860/,107,2.9173978909090907,Frank Coraci,Steve Koren,Adam Sandler,High-Concept Comedy
Marea aventura Lego,7.7,1996.0,60000000.0,470759687.0,https://www.imdb.com/title/tt1490017/,100,7.8459947833333334,Phil Lord,Phil Lord,Will Arnett,Action Epic
Fete rele,7.1,382.0,17000000.0,130194939.0,https://www.imdb.com/title/tt0377092/,97,7.658525823529412,Mark Waters,Rosalind Wiseman,Lindsay Lohan,Satire
Salt,6.5,3022.0,110000000.0,293503354.0,https://www.imdb.com/title/tt0944835/,100,2.668212309090909,Phillip Noyce,Kurt Wimmer,Angelina Jolie,Political Thriller
Hugo,7.5,1864.0,150000000.0,185770310.0,https://www.imdb.com/title/tt0970179/,126,1.2384687333333333,Martin Scorsese,John Logan,Ben Kingsley,Period Drama
Indestructibilul,7.3,1492.0,75000000.0,248118121.0,https://www.imdb.com/title/tt0217869/,106,3.308241613333333,M. Night Shyamalan,M. Night Shyamalan,Bruce Willis,Psychological Drama
Hitch - Consilier in amor,6.6,3197.0,70000000.0,371594603.0,https://www.imdb.com/title/tt0386588/,118,5.308494328571428,Andy Tennant,Kevin Bisch,Will Smith,Romantic Comedy
Hellboy - Eroul scapat din infern,6.9,1685.0,66000000.0,99378985.0,https://www.imdb.com/title/tt0167190/,122,1.505742196969697,Guillermo del Toro,Guillermo del Toro,Ron Perlman,Dark Fantasy
Babel,7.5,2808.0,25000000.0,135330835.0,https://www.imdb.com/title/tt0449467/,143,5.4132334,Alejandro G. Iñárritu,Guillermo Arriaga,Brad Pitt,Epic
Mizerabilii,7.5,909.0,61000000.0,442757529.0,https://www.imdb.com/title/tt1707386/,158,7.258320147540983,Tom Hooper,William Nicholson,Hugh Jackman,Epic
Chiulangiul,7.8,717.0,6000000.0,70742876.0,https://www.imdb.com/title/tt0091042/,103,11.790479333333334,John Hughes,John Hughes,Matthew Broderick,Buddy Comedy
"Jumper: Oriunde, oricând",6.1,1896.0,85000000.0,225132113.0,https://www.imdb.com/title/tt0489099/,88,2.648613094117647,Doug Liman,David S. Goyer,Hayden Christensen,Globetrotting Adventure
Serenity,7.8,2134.0,39000000.0,40449130.0,https://www.imdb.com/title/tt0379786/,119,1.0371571794871794,Joss Whedon,Joss Whedon,Nathan Fillion,Space Sci-Fi
Transformers: Exterminarea,5.6,2789.0,210000000.0,1105261713.0,https://www.imdb.com/title/tt2109248/,165,5.2631510142857145,Michael Bay,Ehren Kruger,Mark Wahlberg,Action Epic
